Track_id_org,Track_id,Gene_Name,Locus,Strand,Gene_Type,log2FC,Fold_Change,p_value,q_value,Test_FPKM,Control_FP,HOXD9-1,HOXD9-2,HOXD9-3,Vector-1,Vector-2,Vector-3,Upregulated
ENSG00000001629.9_3,ENSG00000001629.9,ANKIB1,chr7:918755,+,protein_coding,-0.349209,0.7850144,0.0411695,0.3138435,3.0656084,3.4148174,8.2999627,7.7819986,6.1853132,9.3008593,10.138524,9.5727093,0
ENSG00000003509.15_2,ENSG00000003509.15,NDUFAF7,chr2:374587,+,protein_coding,-0.349362,0.7849311,0.0081993,0.210149,2.1878485,2.5372106,3.6489486,3.6222951,3.4016107,4.3757841,5.3136352,4.762463,0
ENSG00000004478.7_2,ENSG00000004478.7,FKBP4,chr12:29041,+,protein_coding,0.3377572,1.2637904,0.0033981,0.1733337,5.6622875,5.3245303,51.629242,49.655142,47.719687,41.188021,36.983663,39.155407,1
ENSG00000005810.17_1,ENSG00000005810.17,MYCBP2,chr13:77618,-,protein_coding,-0.39208,0.7620301,0.0175763,0.2506617,2.6704892,3.0625694,5.5339009,5.9321464,4.6970731,7.2925367,7.9617738,6.8468323,0
ENSG00000006459.10_2,ENSG00000006459.10,KDM7A,chr7:139784,-,protein_coding,-0.563715,0.676558,0.0099364,0.2170995,2.1751727,2.7388873,3.9559239,3.775522,2.8925232,5.2437751,6.151596,5.6621044,0
ENSG00000006611.15_2,ENSG00000006611.15,USH1C,chr11:17515,-,protein_coding,-0.310274,0.8064888,0.0013686,0.1390335,2.9516324,3.261906,6.5980237,6.4916218,7.1341679,8.4707653,8.771883,8.5374286,0
ENSG00000006652.13_3,ENSG00000006652.13,IFRD1,chr7:112063,+,protein_coding,-0.405175,0.7551449,0.0027274,0.1614437,1.6155337,2.0207082,2.1275902,2.0037182,2.0626916,2.9384868,2.8559052,3.3997261,0
ENSG00000008294.20_2,ENSG00000008294.20,SPAG9,chr17:49039,-,protein_coding,-0.337629,0.7913409,0.0330298,0.2965163,4.5314656,4.8690945,24.480358,22.547181,19.61469,28.021169,30.379819,26.40723,0
ENSG00000011347.9_3,ENSG00000011347.9,SYT7,chr11:61282,-,protein_coding,-0.269355,0.8296902,0.0278113,0.2861428,3.2484494,3.5178047,8.5509151,7.9754816,9.0124276,11.489678,10.225645,9.7184419,0
ENSG00000011454.16_3,ENSG00000011454.16,RABGAP1,chr9:125703,+,protein_coding,-0.282485,0.8221736,0.03385,0.2991259,1.9718212,2.2543063,3.200346,2.957843,2.6306832,3.5207101,4.2170093,3.6048258,0
